名前:

日付:

学期:

                    都道府県庁所在地クイズ (問題番号 5)

1. 京都府の都道府県庁所在地は？
 A. 長崎市
 B. 甲府市
 C. 京都市
 D. 神戸市

2. 高知県の都道府県庁所在地は？
 A. 京都市
 B. 高知市
 C. 那覇市
 D. 松山市

3. 静岡県の都道府県庁所在地は？
 A. 富山市
 B. 松山市
 C. 静岡市
 D. 宮崎市

4. 大分県の都道府県庁所在地は？
 A. 福井市
 B. 大分市
 C. 神戸市
 D. 福岡市

5. 福井県の都道府県庁所在地は？
 A. 大津市
 B. 長崎市
 C. 福井市
 D. 鹿児島市

6. 広島県の都道府県庁所在地は？
 A. 大津市
 B. 福岡市
 C. 広島市
 D. 新宿区

7. 群馬県の都道府県庁所在地は？
 A. 津市
 B. 前橋市
 C. 鳥取市
 D. 那覇市

8. 滋賀県の都道府県庁所在地は？
 A. 新宿区
 B. 秋田市
 C. 大津市
 D. 長野市

9. 福岡県の都道府県庁所在地は？
 A. 大津市
 B. 福岡市
 C. 千葉市
 D. 名古屋市

10. 石川県の都道府県庁所在地は？
 A. 大津市
 B. 鳥取市
 C. 盛岡市
 D. 金沢市

11. 北海道の都道府県庁所在地は？
 A. 岡山市
 B. 福岡市
 C. 奈良市
 D. 札幌市

12. 山梨県の都道府県庁所在地は？
 A. 佐賀市
 B. 宮崎市
 C. 青森市
 D. 甲府市

13. 宮崎県の都道府県庁所在地は？
 A. 福島市
 B. 高松市
 C. 宮崎市
 D. 松江市

14. 愛知県の都道府県庁所在地は？
 A. 松山市
 B. 名古屋市
 C. 長野市
 D. 広島市

15. 熊本県の都道府県庁所在地は？
 A. 長野市
 B. 熊本市
 C. 秋田市
 D. 高松市

16. 鳥取県の都道府県庁所在地は？
 A. 新潟市
 B. 青森市
 C. 鳥取市
 D. 津市

17. 鹿児島県の都道府県庁所在地は？
 A. 鹿児島市
 B. 岐阜市
 C. 松江市
 D. 新潟市

18. 佐賀県の都道府県庁所在地は？
 A. 千葉市
 B. 仙台市
 C. 佐賀市
 D. 水戸市

19. 新潟県の都道府県庁所在地は？
 A. 山口市
 B. 新潟市
 C. 甲府市
 D. 名古屋市

20. 埼玉県の都道府県庁所在地は？
 A. 青森市
 B. 盛岡市
 C. 福岡市
 D. さいたま市

21. 兵庫県の都道府県庁所在地は？
 A. 神戸市
 B. 新潟市
 C. 那覇市
 D. 水戸市

22. 宮城県の都道府県庁所在地は？
 A. 仙台市
 B. 岐阜市
 C. さいたま市
 D. 富山市

23. 富山県の都道府県庁所在地は？
 A. 名古屋市
 B. 新潟市
 C. 富山市
 D. 鹿児島市

24. 茨城県の都道府県庁所在地は？
 A. 高松市
 B. 長野市
 C. 那覇市
 D. 水戸市

25. 神奈川県の都道府県庁所在地は？
 A. 徳島市
 B. 熊本市
 C. 横浜市
 D. 岡山市

26. 島根県の都道府県庁所在地は？
 A. 大分市
 B. 宇都宮市
 C. 松江市
 D. 福井市

27. 青森県の都道府県庁所在地は？
 A. 高松市
 B. 青森市
 C. 金沢市
 D. 熊本市

28. 和歌山県の都道府県庁所在地は？
 A. 富山市
 B. 和歌山市
 C. 千葉市
 D. 新潟市

29. 沖縄県の都道府県庁所在地は？
 A. 金沢市
 B. 那覇市
 C. 京都市
 D. 熊本市

30. 香川県の都道府県庁所在地は？
 A. 宇都宮市
 B. 新潟市
 C. 高松市
 D. 福岡市

31. 大阪府の都道府県庁所在地は？
 A. 大阪市
 B. 甲府市
 C. 福井市
 D. 岐阜市

32. 長野県の都道府県庁所在地は？
 A. 高知市
 B. 仙台市
 C. 宇都宮市
 D. 長野市

33. 岡山県の都道府県庁所在地は？
 A. 岡山市
 B. 大津市
 C. 岐阜市
 D. 長野市

34. 岩手県の都道府県庁所在地は？
 A. 盛岡市
 B. 松江市
 C. 山口市
 D. 千葉市

35. 福島県の都道府県庁所在地は？
 A. 大阪市
 B. 宇都宮市
 C. 福島市
 D. 新宿区

36. 岐阜県の都道府県庁所在地は？
 A. 松江市
 B. 岐阜市
 C. さいたま市
 D. 千葉市

37. 山口県の都道府県庁所在地は？
 A. 名古屋市
 B. 鹿児島市
 C. 山口市
 D. 佐賀市

38. 栃木県の都道府県庁所在地は？
 A. 奈良市
 B. 岐阜市
 C. 宇都宮市
 D. 長野市

39. 奈良県の都道府県庁所在地は？
 A. 熊本市
 B. 高知市
 C. 福島市
 D. 奈良市

40. 山形県の都道府県庁所在地は？
 A. 山形市
 B. 松江市
 C. 岐阜市
 D. 前橋市

41. 秋田県の都道府県庁所在地は？
 A. 秋田市
 B. 松江市
 C. 山口市
 D. 岡山市

42. 愛媛県の都道府県庁所在地は？
 A. 宇都宮市
 B. さいたま市
 C. 熊本市
 D. 松山市

43. 東京都の都道府県庁所在地は？
 A. 神戸市
 B. 新宿区
 C. 仙台市
 D. 大分市

44. 三重県の都道府県庁所在地は？
 A. 熊本市
 B. 新潟市
 C. 大津市
 D. 津市

45. 長崎県の都道府県庁所在地は？
 A. 青森市
 B. 宮崎市
 C. 長崎市
 D. 鹿児島市

46. 徳島県の都道府県庁所在地は？
 A. 水戸市
 B. 徳島市
 C. 前橋市
 D. 宮崎市

47. 千葉県の都道府県庁所在地は？
 A. 佐賀市
 B. 千葉市
 C. 新潟市
 D. 大津市

